timestamp,message_id,readable_message
Apr 15 2013 09:36:50,ASA-4-106023,"Security Alert: Deny TCP connection from source dmz:10.1.2.30/63016 to destination outside:192.0.0.8/53 by access group ""acl_dmz"""
Apr 15 2014 09:34:34 EDT,ASA-session-5-106100,Session Info: Access-list acl_in permitted TCP connection from inside 10.1.2.16(2241) to outside 192.0.0.89(2000)
Apr 29 2013 12:59:50,ASA-6-305011,Translation Event: Built dynamic TCP translation from outside 10.123.3.42/4952
Apr 29 2013 12:59:50,ASA-6-302013,Connection Event: Built outbound TCP connection from outside 192.0.2.43/443
Apr 29 2013 12:59:50,ASA-6-305011,Translation Event: Built dynamic UDP translation from outside 10.123.1.35/52925
Apr 29 2013 12:59:50,ASA-6-302015,General Log: Built outbound UDP connection 89743275 for outside:192.0.2.222/53 (192.0.2.43/53) to outside:10.123.1.35/52925 (10.123.1.35/25882)\
Apr 29 2013 12:59:50,ASA-6-305011,Translation Event: Built dynamic TCP translation from outside 10.123.3.42/4953
Apr 29 2013 12:59:50,ASA-6-302013,Connection Event: Built outbound TCP connection from outside 192.0.2.1/80
Apr 29 2013 12:59:50,ASA-6-302016,General Log: Teardown UDP connection 89743275 for outside:192.0.2.222/53 to inside:10.123.1.35/52925 duration 1:23:45 bytes 140\
Apr 29 2013 12:59:50,ASA-6-302016,General Log: Teardown UDP connection 666 for outside:192.0.2.222/53 user1 to inside:10.123.1.35/52925 user2 duration 10:00:00 bytes 9999999\
Apr 29 2013 12:59:50,ASA-6-305011,Translation Event: Error parsing message: Built dynamic TCP translation from inside:192.168.3.42/4954 to outside:192.0.0.130/10879\
Apr 29 2013 12:59:50,ASA-6-302013,Connection Event: Built outbound TCP connection from outside 192.0.0.17/80
Apr 30 2013 09:22:33,ASA-2-106007,General Log: Deny inbound UDP from 192.0.0.66/12981 to 10.1.2.60/53 due to DNS Query\
Apr 30 2013 09:22:38,ASA-5-106100,"General Log: access-list acl_in permitted tcp inside/10.0.0.16(2006) -> outside/192.0.0.89(2000) hit-cnt 1 first hit [0x71a87d94, 0x0]\"
Apr 30 2013 09:22:38,ASA-5-106100,"General Log: access-list acl_in permitted tcp inside/10.0.0.46(49734) -> outside/192.0.0.88(40443) hit-cnt 1 first hit [0x71a87d94, 0x0]\"
Apr 30 2013 09:22:39,ASA-5-106100,"General Log: access-list acl_in permitted tcp inside/10.0.0.46(49735) -> outside/192.0.0.88(40443) hit-cnt 1 first hit [0x71a87d94, 0x0]\"
Apr 30 2013 09:22:39,ASA-5-106100,"General Log: access-list acl_in permitted tcp inside/10.0.0.46(49736) -> outside/192.0.0.88(40443) hit-cnt 1 first hit [0x71a87d94, 0x0]\"
Apr 30 2013 09:22:39,ASA-5-106100,"General Log: access-list acl_in permitted tcp inside/10.0.0.46(49737) -> outside/192.0.0.88(40443) hit-cnt 1 first hit [0x71a87d94, 0x0]\"
Apr 30 2013 09:22:40,ASA-5-106100,"General Log: access-list acl_in permitted tcp inside/10.0.0.46(49738) -> outside/192.0.0.88(40443) hit-cnt 1 first hit [0x71a87d94, 0x0]\"
Apr 30 2013 09:22:41,ASA-5-106100,"General Log: access-list acl_in permitted tcp inside/10.0.0.46(49746) -> outside/192.0.0.88(40443) hit-cnt 1 first hit [0x71a87d94, 0x0]\"
Apr 30 2013 09:22:47,ASA-5-106100,"General Log: access-list acl_in permitted tcp inside/10.0.0.16(2007) -> outside/192.0.0.89(2000) hit-cnt 1 first hit [0x71a87d94, 0x0]\"
Apr 30 2013 09:22:48,ASA-5-106100,"General Log: access-list acl_in permitted tcp inside/10.0.0.13(43013) -> dmz/192.168.33.31(25) hit-cnt 1 first hit [0x71a87d94, 0x0]\"
Apr 30 2013 09:22:56,ASA-5-106100,"General Log: access-list acl_in permitted tcp inside/10.0.0.16(2008) -> outside/192.0.0.89(2000) hit-cnt 1 first hit [0x71a87d94, 0x0]\"
Apr 30 2013 09:23:02,ASA-2-106006,General Log: Deny inbound UDP from 192.0.2.66/137 to 10.1.2.42/137 on interface inside\
Apr 30 2013 09:23:03,ASA-2-106007,General Log: Deny inbound UDP from 192.0.2.66/12981 to 10.1.5.60/53 due to DNS Query\
Apr 30 2013 09:23:06,ASA-5-106100,"General Log: access-list acl_in permitted tcp inside/10.0.0.16(2009) -> outside/192.0.0.89(2000) hit-cnt 1 first hit [0x71a87d94, 0x0]\"
Apr 30 2013 09:23:08,ASA-5-106100,"General Log: access-list acl_in permitted tcp inside/10.0.0.46(49776) -> outside/192.0.0.88(40443) hit-cnt 1 first hit [0x71a87d94, 0x0]\"
Apr 30 2013 09:23:15,ASA-5-106100,"General Log: access-list acl_in permitted tcp inside/10.0.0.16(2010) -> outside/192.0.0.89(2000) hit-cnt 1 first hit [0x71a87d94, 0x0]\"
Apr 30 2013 09:23:24,ASA-5-106100,"General Log: access-list acl_in denied tcp inside/10.0.0.16(2011) -> outside/192.0.0.89(2000) hit-cnt 1 first hit [0x71a87d94, 0x0]\"
Apr 30 2013 09:23:34,ASA-5-106100,"General Log: access-list acl_in denied tcp inside/10.0.0.16(2012) -> outside/192.0.0.89(2000) hit-cnt 1 first hit [0x71a87d94, 0x0]\"
Apr 30 2013 09:23:40,ASA-4-106023,"Security Alert: Deny TCP connection from source outside:192.0.2.126/53638 to destination inside:10.0.0.132/8111 by access group ""acl_out"""
Apr 30 2013 09:23:41,ASA-4-106023,"Security Alert: Deny TCP connection from source outside:192.0.2.126/53638 to destination inside:10.0.0.132/8111 by access group ""acl_out"""
Apr 30 2013 09:23:43,ASA-5-106100,"General Log: access-list acl_in est-allowed tcp inside/10.0.0.46(49840) -> outside/192.0.0.88(40443) hit-cnt 1 first hit [0x71a87d94, 0x0]\"
